avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_rock,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
6.260869565217392,7,51,5,25,0.1,0.14472361809045226,0.35443037974683544,51,120,1,183,-0.33125628140703506
6.027027027027027,25,272,39,25,0.2,0.671356783919598,0.1656441717791411,66,993,5,124,-2.181407035175879
6.776699029126213,39,240,23,25,0.3,0.7015075376884422,0.1891891891891892,66,995,5,93,-3.5973869346733665
7.934782608695652,36,221,3,25,0.4,0.7336683417085427,0.1596958174904943,74,990,8,36,-3.3596984924623112
8.346153846153847,32,70,0,25,0.5,0.43618090452261304,0.875,62,995,2,16,-2.9255276381909545
8.90566037735849,45,63,0,25,0.6,0.4733668341708543,0.8795411089866156,60,995,1,5,-4.23537688442211
7.25,2,33,4,26,0.1,0.11658291457286432,0.36538461538461536,38,71,1,159,0.1643216080402011
5.5508474576271185,30,278,44,26,0.2,0.6582914572864321,0.1701492537313433,51,990,4,147,-2.6624120603015076
7.195876288659794,42,240,28,26,0.3,0.700502512562814,0.1919191919191919,64,994,4,85,-3.900804020100502
8.2,41,215,6,26,0.4,0.7396984924623116,0.16666666666666666,54,995,3,38,-3.806030150753769
9.142857142857142,39,55,0,26,0.5,0.4492462311557789,0.8994515539305301,45,995,4,9,-3.6468341708542713
9.075471698113208,34,75,0,26,0.6,0.4824120603015075,0.8540856031128404,48,995,2,8,-3.149447236180905
7.25,3,29,0,27,0.1,0.11557788944723618,0.49122807017543857,59,18,1,175,0.06351758793969868
5.6722689075630255,36,272,38,27,0.2,0.6773869346733669,0.13924050632911392,39,986,2,133,-3.248643216080402
7.163265306122449,44,239,30,27,0.3,0.7045226130653266,0.18430034129692832,70,995,7,96,-4.123718592964824
7.634408602150538,47,234,17,27,0.4,0.7125628140703517,0.17894736842105263,57,995,4,78,-4.418090452261307
8.2,53,133,5,27,0.5,0.6170854271356784,0.65,60,995,2,38,-5.030753768844222
9.277777777777779,33,68,0,27,0.6,0.5035175879396985,0.8620689655172413,107,995,0,6,-3.0205025125628135
6.833333333333333,2,27,0,28,0.1,0.12361809045226131,0.5263157894736842,73,12,1,138,0.1571859296482413
5.391666666666667,31,289,51,28,0.2,0.6482412060301508,0.17191977077363896,34,995,4,180,-2.772663316582914
7.12,56,237,25,28,0.3,0.714572864321608,0.1625441696113074,56,995,6,94,-5.322914572864321
7.02020202020202,48,246,14,28,0.4,0.6954773869346733,0.18543046357615894,53,995,5,71,-4.5237185929648245
8.05813953488372,41,177,5,28,0.5,0.6964824120603015,0.4119601328903654,76,995,3,36,-3.8264321608040204
8.981132075471699,37,64,0,28,0.6,0.47839195979899496,0.8764478764478765,36,995,2,17,-3.4378894472361807
5.285714285714286,3,12,1,29,0.1,0.0371859296482412,0.2,8,42,0,159,0.0668341708542715
5.9,32,226,28,29,0.2,0.5919597989949749,0.15985130111524162,58,801,6,152,-2.892060301507538
6.6761904761904765,41,239,27,29,0.3,0.7045226130653266,0.18430034129692832,50,995,7,100,-3.823417085427135
7.945054945054945,40,226,13,29,0.4,0.7256281407035176,0.16911764705882354,50,995,4,51,-3.7106532663316587
8.26923076923077,31,64,0,29,0.5,0.4311557788944724,0.8867256637168142,12,995,1,14,-2.8181909547738697
9.51923076923077,26,63,0,29,0.6,0.49748743718592964,0.87374749498998,78,995,2,5,-2.337989949748744
7.5,1,37,0,30,0.1,0.12060301507537688,0.5,81,25,3,193,0.23969849246231162
5.947826086956522,28,269,43,30,0.2,0.6874371859296482,0.13225806451612904,47,995,5,164,-2.47608040201005
6.2,51,249,34,30,0.3,0.6844221105527638,0.20447284345047922,78,995,1,120,-4.769045226130653
7.777777777777778,45,203,12,30,0.4,0.7025125628140704,0.31186440677966104,83,995,5,51,-4.231557788944723
8.924528301886792,37,68,0,30,0.5,0.4733668341708543,0.869980879541109,42,995,2,18,-3.4308542713567833
8.566037735849056,28,73,0,30,0.6,0.4552763819095477,0.8650646950092421,40,995,0,10,-2.5209045226130655
6.529411764705882,1,24,0,31,0.1,0.11155778894472362,0.4782608695652174,52,11,2,216,0.2574874371859297
6.2727272727272725,31,260,51,31,0.2,0.6924623115577889,0.14754098360655737,62,993,10,155,-2.81929648241206
6.70873786407767,36,247,21,31,0.3,0.6944723618090453,0.1848184818481848,31,995,5,90,-3.3006030150753762
7.6,40,230,8,31,0.4,0.7236180904522613,0.16058394160583941,58,995,4,54,-3.7204020100502513
8.757575757575758,43,110,2,31,0.5,0.5798994974874372,0.7362110311750599,52,995,7,22,-4.0703517587939695
9.296296296296296,44,62,0,31,0.6,0.5045226130653266,0.8739837398373984,46,995,2,7,-4.14070351758794
6.3,1,33,1,32,0.1,0.12562814070351758,0.36538461538461536,51,48,3,188,0.24512562814070354
5.636363636363637,41,276,75,32,0.2,0.6231155778894473,0.15337423312883436,57,927,7,200,-3.8028140703517583
6.640776699029126,42,247,29,32,0.3,0.6864321608040201,0.2057877813504823,50,995,2,107,-3.8716582914572863
7.157894736842105,45,225,19,32,0.4,0.6834170854271356,0.28343949044585987,43,995,5,71,-4.231155778894473
9.067796610169491,31,92,2,32,0.5,0.5366834170854271,0.8,68,995,4,27,-2.848643216080402
9.20754716981132,40,63,0,32,0.6,0.4894472361809045,0.8757396449704142,50,995,5,8,-3.7790954773869343
7.071428571428571,7,47,3,33,0.1,0.19899497487437187,0.3380281690140845,57,123,4,146,-0.36763819095477385
5.851851851851852,34,258,40,33,0.2,0.6341708542713568,0.14,46,899,5,140,-3.0753768844221105
6.75,34,245,20,33,0.3,0.7045226130653266,0.16382252559726962,36,995,3,88,-3.0796984924623114
7.255102040816326,53,228,24,33,0.4,0.7135678391959799,0.19718309859154928,69,995,5,88,-5.027738693467337
8.51063829787234,26,63,1,33,0.5,0.40100502512562813,0.8941176470588236,36,995,3,15,-2.3349748743718592
9.673076923076923,31,60,0,33,0.6,0.5055276381909548,0.8778004073319755,12,995,2,2,-2.8406030150753767
6.375,7,22,0,34,0.1,0.10251256281407035,0.5217391304347826,54,12,1,177,-0.34311557788944697
6.079646017699115,37,269,35,34,0.2,0.6894472361809045,0.1266233766233766,79,995,10,134,-3.4293467336683414
6.742574257425742,37,261,32,34,0.3,0.6814070351758794,0.1525974025974026,61,980,7,96,-3.4207035175879397
7.645833333333333,45,217,5,34,0.4,0.735678391959799,0.1717557251908397,22,995,9,55,-4.2556783919597985
9.21311475409836,39,111,3,34,0.5,0.563819095477387,0.74364896073903,38,995,3,17,-3.6389949748743717
9.04,30,57,0,34,0.6,0.4542713567839196,0.8948339483394834,27,995,2,4,-2.744723618090452
6.6,1,28,3,35,0.1,0.13266331658291458,0.42857142857142855,62,25,3,158,0.23567839195979906
5.898989898989899,29,223,32,35,0.2,0.5859296482412061,0.2147887323943662,54,830,5,145,-2.574974874371859
6.566037735849057,40,246,20,35,0.3,0.6984924623115578,0.17725752508361203,56,995,5,92,-3.7023115577889443
7.572916666666667,48,216,12,35,0.4,0.7296482412060301,0.19402985074626866,49,995,6,61,-4.542211055276382
7.681318681318682,37,223,6,35,0.5,0.700502512562814,0.24915824915824916,58,995,4,34,-3.4325628140703515
8.833333333333334,25,55,0,35,0.6,0.37185929648241206,0.9118589743589743,64,995,1,9,-2.2272361809045225
7.9375,6,29,1,36,0.1,0.12763819095477386,0.42,46,60,0,158,-0.232361809045226
6.3545454545454545,42,250,29,36,0.2,0.7015075376884422,0.14383561643835616,42,980,1,126,-3.8378894472361798
6.898989898989899,39,248,28,36,0.3,0.6864321608040201,0.20257234726688103,54,995,3,85,-3.590452261306533
7.739130434782608,46,210,10,36,0.4,0.714572864321608,0.2579505300353357,20,995,6,50,-4.338291457286432
8.116279069767442,46,181,4,36,0.5,0.7015075376884422,0.3885135135135135,55,995,5,38,-4.35105527638191
9.482142857142858,38,64,0,36,0.6,0.5336683417085427,0.8617710583153347,54,995,4,3,-3.56572864321608
7.352941176470588,4,28,0,37,0.1,0.12462311557788945,0.5409836065573771,63,23,1,158,-0.03648241206030137
5.956140350877193,34,267,35,37,0.2,0.6814070351758794,0.1550632911392405,56,995,6,128,-3.083417085427136
6.127272727272727,31,263,31,37,0.3,0.6753768844221105,0.18322981366459629,51,995,3,111,-2.782110552763819
7.438775510204081,62,223,10,37,0.4,0.7316582914572864,0.16165413533834586,70,995,9,70,-5.97929648241206
8.021978021978022,57,198,0,37,0.5,0.7326633165829146,0.2528301886792453,62,995,2,43,-5.418693467336684
9.041666666666666,31,55,0,37,0.6,0.43517587939698493,0.9019607843137255,22,995,3,8,-2.8495477386934676
7.636363636363637,4,38,3,38,0.1,0.1678391959798995,0.4492753623188406,73,37,2,168,-0.04974874371859282
5.9375,31,271,54,38,0.2,0.6663316582914572,0.17378048780487804,69,988,7,168,-2.7931658291457286
6.2592592592592595,43,264,29,38,0.3,0.678391959798995,0.1724137931034483,40,995,7,93,-4.031658291457286
8.258426966292134,58,213,10,38,0.4,0.7376884422110552,0.18076923076923077,53,995,6,38,-5.546532663316582
7.88135593220339,26,89,1,38,0.5,0.4663316582914573,0.8320754716981132,40,995,0,21,-2.3028140703517583
8.9,31,54,0,38,0.6,0.4462311557788945,0.9018181818181819,67,995,2,6,-2.8402010050251256
6.538461538461538,1,18,0,39,0.1,0.08442211055276382,0.5609756097560976,52,18,3,148,0.2398994974874373
6.137254901960785,25,255,37,39,0.2,0.629145728643216,0.15,75,898,5,126,-2.1700502512562814
6.60377358490566,42,247,18,39,0.3,0.7025125628140704,0.16271186440677965,39,995,3,83,-3.8899497487437187
8.2,42,227,4,39,0.4,0.7407035175879397,0.11673151750972763,71,995,5,38,-3.942613065326633
8.771929824561404,35,74,1,39,0.5,0.5025125628140703,0.8502024291497976,53,995,3,18,-3.235678391959799
9.565217391304348,19,60,0,39,0.6,0.44221105527638194,0.8916967509025271,51,995,3,4,-1.6441206030150755
7.235294117647059,3,26,0,40,0.1,0.12361809045226131,0.543859649122807,66,39,3,199,0.04462311557788962
5.769230769230769,32,267,39,40,0.2,0.6773869346733669,0.165625,43,995,5,150,-2.8845226130653265
6.339449541284404,39,258,21,40,0.3,0.6934673366834171,0.1513157894736842,68,995,3,83,-3.5867336683417084
7.257731958762887,40,224,13,40,0.4,0.7065326633165829,0.23024054982817868,48,995,8,62,-3.75608040201005
8.556962025316455,60,143,5,40,0.5,0.678391959798995,0.5517241379310345,84,995,5,34,-5.75678391959799
9.020408163265307,28,58,0,40,0.6,0.44321608040201005,0.895117540687161,34,995,1,7,-2.525427135678392
8.15,2,37,0,41,0.1,0.16381909547738693,0.4861111111111111,93,13,2,165,0.15125628140703523
6.666666666666667,32,206,20,41,0.2,0.5809045226130654,0.1693548387096774,72,802,8,122,-2.9218090452261305
6.4495412844036695,46,241,18,41,0.3,0.7055276381909548,0.17465753424657535,24,995,4,94,-4.297185929648241
7.760869565217392,55,226,6,41,0.4,0.7165829145728643,0.19572953736654805,62,995,7,37,-5.246834170854271
7.82089552238806,35,95,0,41,0.5,0.5256281407035176,0.7983014861995754,46,995,6,20,-3.2614070351758793
